iter	Passed	Remaining
149	114421	648386
150	114428	643378
151	114437	638440
152	114444	633560
153	114453	628749
154	114460	623996
155	114468	619303
156	114476	614670
157	114483	610094
158	114490	605577
159	114498	601115
160	114505	596711
161	114513	592358
162	114520	588057
163	114527	583809
164	114537	579626
165	114544	575480
166	114551	571383
167	114558	567339
168	114566	563341
169	114574	559391
170	114582	555489
171	114589	551628
172	114596	547810
173	114603	544037
174	114610	540307
175	114618	536624
176	114626	532978
177	114632	529372
178	114641	525812
179	114648	522286
180	114655	518799
181	114662	515351
182	114669	511939
183	114677	508568
184	114684	505232
185	114692	501932
186	114699	498667
187	114706	495435
188	114713	492237
189	114721	489075
190	114728	485943
191	114735	482846
192	114743	479781
193	114750	476748
194	114758	473744
195	114765	470772
196	114772	467827
197	114780	464916
198	114787	462034
199	114795	459180
200	114803	456356
201	114810	453558
202	114818	450789
203	114825	448044
204	114833	445328
205	114840	442637
206	114849	439978
207	114857	437342
208	114864	434726
209	114872	432137
210	114879	429572
211	114886	427032
212	114894	424515
213	114901	422020
214	114908	419548
215	114917	417108
216	114925	414683
217	114931	412278
218	114939	409897
219	114946	407538
220	114955	405203
221	114962	402886
222	114970	400591
223	114977	398316
224	114985	396059
225	114992	393824
226	115000	391608
227	115007	389411
228	115014	387233
229	115022	385074
230	115029	382932
231	115036	380810
232	115044	378707
233	115051	376621
234	115058	374552
235	115065	372501
236	115073	370467
237	115080	368451
238	115088	366451
239	115095	364468
240	115103	362503
241	115110	360553
242	115117	358618
243	115123	356694
244	115131	354791
245	115138	352903
246	115145	351029
247	115152	349172
248	115160	347330
249	115167	345503
250	115175	343689
251	115182	341890
252	115191	340110
253	115198	338339
254	115209	336591
255	115216	334849
256	115224	333119
257	115231	331401
258	115238	329697
259	115245	328006
260	115252	326329
261	115260	324665
262	115267	323013
263	115275	321373
264	115283	319747
265	115290	318132
266	115298	316529
267	115305	314937
268	115312	313357
269	115319	311788
270	115326	310231
271	115333	308685
272	115341	307155
273	115349	305632
274	115356	304120
275	115363	302620
276	115370	301130
277	115377	299650
278	115389	298192
279	115396	296734
280	115403	295286
281	115411	293848
282	115418	292420
283	115425	291002
284	115433	289595
285	115440	288198
286	115448	286810
287	115455	285431
288	115463	284063
289	115469	282702
290	115477	281352
291	115485	280012
292	115492	278680
293	115499	277356
294	115507	276043
295	115514	274738
296	115522	273441
297	115529	272152
298	115536	270872
299	115543	269601
300	115550	268338
301	115564	267099
302	115571	265853
303	115579	264615
304	115586	263385
305	115594	262164
306	115601	260950
307	115608	259743
308	115615	258544
309	115623	257355
310	115630	256171
311	115637	254996
312	115644	253826
313	115652	252666
314	115660	251515
315	115668	250370
316	115679	249239
317	115686	248108
318	115694	246983
319	115703	245869
320	115712	244761
321	115719	243658
322	115728	242563
323	115737	241477
324	115744	240393
325	115752	239315
326	115759	238244
327	115766	237180
328	115774	236122
329	115781	235071
330	115789	234027
331	115797	232989
332	115804	231956
333	115811	230929
334	115818	229908
335	115825	228893
336	115832	227884
337	115840	226883
338	115848	225887
339	115855	224895
340	115862	223909
341	115870	222932
342	115878	221959
343	115886	220992
344	115893	220029
345	115900	219071
346	115908	218122
347	115915	217175
348	115923	216235
349	115930	215299
350	115938	214370
351	115945	213445
352	115952	212524
353	115959	211609
354	115966	210699
355	115973	209794
356	115980	208895
357	115990	208006
358	115998	207116
359	116005	206231
360	116012	205352
361	116020	204477
362	116027	203606
363	116034	202741
364	116041	201880
365	116048	201024
366	116056	200173
367	116063	199326
368	116070	198484
369	116078	197646
370	116085	196813
371	116092	195984
372	116100	195160
373	116107	194339
374	116114	193523
375	116121	192712
376	116128	191905
377	116136	191102
378	116143	190303
379	116151	189510
380	116160	188723
381	116171	187942
382	116178	187160
383	116186	186382
384	116194	185609
385	116201	184838
386	116208	184072
387	116221	183318
388	116229	182560
389	116236	181806
390	116244	181055
391	116251	180308
392	116258	179565
393	116266	178825
394	116273	178090
395	116281	177358
396	116288	176629
397	116295	175904
398	116302	175182
399	116310	174465
400	116317	173750
401	116324	173040
402	116332	172333
403	116339	171629
404	116346	170928
405	116353	170231
406	116361	169538
407	116368	168848
408	116376	168162
409	116383	167478
410	116390	166798
411	116397	166121
412	116405	165448
413	116412	164777
414	116419	164110
415	116426	163445
416	116434	162784
417	116441	162126
418	116450	161473
419	116457	160821
420	116466	160175
421	116473	159530
422	116481	158888
423	116489	158249
424	116496	157613
425	116505	156981
426	116512	156350
427	116519	155722
428	116526	155096
429	116533	154475
430	116541	153856
431	116548	153239
432	116555	152626
433	116564	152016
434	116572	151409
435	116579	150804
436	116586	150201
437	116594	149602
438	116601	149005
439	116608	148411
440	116615	147819
441	116622	147229
442	116634	146648
443	116641	146065
444	116648	145483
445	116655	144904
446	116663	144328
447	116670	143755
448	116678	143184
449	116685	142615
450	116693	142050
451	116700	141486
452	116707	140924
453	116714	140366
454	116721	139809
455	116729	139255
456	116736	138704
457	116743	138155
458	116750	137607
459	116758	137063
460	116765	136522
461	116773	135982
462	116780	135444
463	116787	134909
464	116794	134376
465	116802	133846
466	116809	133317
467	116816	132790
468	116822	132266
469	116829	131743
470	116836	131223
471	116843	130706
472	116850	130190
473	116857	129676
474	116864	129165
475	116871	128656
476	116878	128149
477	116885	127644
478	116893	127142
479	116899	126641
480	116906	126142
481	116913	125646
482	116921	125151
483	116928	124659
484	116935	124168
485	116941	123679
486	116948	123192
487	116955	122707
488	116961	122223
489	116968	121742
490	116975	121263
491	116982	120787
492	116989	120311
493	116996	119838
494	117002	119366
495	117009	118897
496	117016	118429
497	117023	117963
498	117030	117499
499	117037	117037
500	117044	116577
501	117051	116118
502	117058	115661
503	117064	115206
504	117071	114753
505	117078	114301
506	117085	113852
507	117092	113404
508	117098	112957
509	117105	112513
510	117112	112070
511	117118	111628
512	117125	111189
513	117132	110751
514	117138	110315
515	117151	109886
516	117158	109454
517	117166	109023
518	117173	108594
519	117179	108166
520	117187	107740
521	117194	107315
522	117200	106892
523	117207	106470
524	117213	106050
525	117220	105632
526	117227	105215
527	117235	104800
528	117242	104387
529	117249	103975
530	117256	103565
531	117263	103156
532	117270	102749
533	117278	102343
534	117288	101942
535	117295	101539
536	117302	101138
537	117309	100738
538	117317	100339
539	117324	99942
540	117331	99547
541	117339	99153
542	117346	98761
543	117353	98370
544	117360	97979
545	117367	97591
546	117374	97204
547	117381	96818
548	117389	96434
549	117399	96053
550	117406	95672
551	117413	95292
552	117421	94913
553	117428	94536
554	117435	94160
555	117443	93785
556	117450	93412
557	117457	93039
558	117464	92669
559	117472	92299
560	117479	91931
561	117487	91564
562	117494	91199
563	117501	90834
564	117509	90471
565	117516	90110
566	117524	89749
567	117531	89390
568	117538	89031
569	117546	88675
570	117553	88319
571	117561	87965
572	117568	87612
573	117576	87260
574	117584	86910
575	117591	86560
576	117599	86212
577	117606	85864
578	117614	85519
579	117621	85174
580	117629	84830
581	117636	84487
582	117643	84146
583	117651	83806
584	117659	83467
585	117666	83129
586	117674	82792
587	117681	82456
588	117688	82122
589	117696	81788
590	117703	81456
591	117710	81124
592	117718	80794
593	117725	80465
594	117732	80137
595	117739	79810
596	117747	79484
597	117754	79159
598	117761	78835
599	117769	78512
600	117776	78190
601	117783	77870
602	117790	77550
603	117797	77231
604	117805	76914
605	117812	76597
606	117819	76282
607	117827	75967
608	117834	75654
609	117841	75341
610	117849	75030
611	117856	74719
612	117863	74409
613	117871	74101
614	117878	73794
615	117886	73487
616	117894	73182
617	117901	72877
618	117908	72573
619	117916	72271
620	117926	71971
621	117934	71670
622	117941	71370
623	117948	71071
624	117955	70773
625	117963	70476
626	117970	70180
627	117977	69884
628	117987	69591
629	117994	69298
630	118002	69005
631	118009	68714
632	118016	68423
633	118024	68133
634	118032	67845
635	118039	67557
636	118046	67269
637	118053	66983
638	118060	66697
639	118067	66413
640	118074	66129
641	118082	65846
642	118090	65564
643	118097	65283
644	118105	65003
645	118112	64724
646	118119	64445
647	118126	64167
648	118133	63890
649	118141	63614
650	118149	63339
651	118156	63064
652	118163	62791
653	118170	62518
654	118178	62246
655	118185	61975
656	118193	61705
657	118200	61435
658	118207	61166
659	118215	60898
660	118222	60631
661	118229	60364
662	118237	60099
663	118244	59834
664	118252	59570
665	118259	59307
666	118267	59045
667	118274	58783
668	118282	58522
669	118289	58262
670	118296	58002
671	118304	57743
672	118312	57486
673	118319	57228
674	118326	56972
675	118334	56716
676	118344	56462
677	118355	56210
678	118364	55957
679	118374	55705
680	118384	55454
681	118393	55204
682	118404	54954
683	118413	54705
684	118423	54457
685	118433	54209
686	118442	53962
687	118451	53716
688	118459	53470
689	118468	53225
690	118477	52980
691	118486	52736
692	118495	52493
693	118505	52251
694	118513	52009
695	118522	51768
696	118530	51527
697	118540	51288
698	118550	51049
699	118560	50811
700	118569	50573
701	118577	50336
702	118586	50099
703	118595	49863
704	118603	49628
705	118612	49393
706	118620	49159
707	118629	48926
708	118637	48693
709	118646	48461
710	118655	48230
711	118665	47999
712	118673	47769
713	118682	47539
714	118690	47310
715	118698	47081
716	118709	46854
717	118717	46627
718	118726	46400
719	118734	46174
720	118741	45948
721	118749	45723
722	118757	45499
723	118767	45276
724	118775	45052
725	118783	44830
726	118792	44608
727	118801	44387
728	118810	44167
729	118819	43947
730	118830	43728
731	118838	43509
732	118846	43290
733	118855	43073
734	118863	42855
735	118871	42638
736	118879	42422
737	118887	42206
738	118895	41991
739	118903	41776
740	118910	41562
741	118918	41349
742	118926	41136
743	118934	40923
744	118942	40711
745	118949	40500
746	118958	40289
747	118966	40079
748	118974	39870
749	118982	39660
750	118991	39452
751	118999	39244
752	119006	39036
753	119013	38829
754	119021	38622
755	119029	38416
756	119036	38211
757	119044	38006
758	119052	37801
759	119060	37598
760	119068	37394
761	119076	37191
762	119084	36989
763	119092	36787
764	119100	36586
765	119107	36385
766	119115	36184
767	119123	35985
768	119131	35785
769	119140	35587
770	119148	35389
771	119156	35191
772	119164	34993
773	119172	34797
774	119180	34600
775	119189	34405
776	119197	34209
777	119205	34014
778	119212	33820
779	119220	33626
780	119227	33432
781	119235	33239
782	119243	33046
783	119250	32854
784	119258	32663
785	119265	32471
786	119274	32281
787	119281	32091
788	119288	31901
789	119296	31711
790	119303	31522
791	119311	31334
792	119319	31146
793	119327	30958
794	119337	30772
795	119344	30585
796	119352	30399
797	119359	30213
798	119367	30028
799	119375	29843
800	119382	29659
801	119389	29475
802	119397	29291
803	119404	29108
804	119412	28926
805	119420	28743
806	119427	28562
807	119435	28380
808	119442	28199
809	119450	28019
810	119457	27839
811	119464	27659
812	119472	27480
813	119479	27301
814	119487	27122
815	119494	26944
816	119502	26767
817	119510	26590
818	119519	26413
819	119527	26237
820	119535	26061
821	119543	25886
822	119551	25711
823	119559	25536
824	119567	25362
825	119575	25189
826	119583	25015
827	119591	24842
828	119599	24670
829	119606	24497
830	119613	24325
831	119621	24154
832	119629	23983
833	119636	23812
834	119644	23642
835	119652	23472
836	119660	23303
837	119667	23133
838	119675	22965
839	119685	22797
840	119696	22629
841	119703	22462
842	119710	22294
843	119717	22127
844	119726	21961
845	119733	21795
846	119741	21629
847	119748	21464
848	119755	21299
849	119763	21134
850	119770	20970
851	119778	20806
852	119786	20643
853	119795	20480
854	119802	20317
855	119810	20154
856	119817	19992
857	119825	19831
858	119832	19669
859	119840	19508
860	119848	19348
861	119856	19188
862	119864	19028
863	119871	18868
864	119878	18709
865	119886	18550
866	119894	18392
867	119902	18234
868	119910	18076
869	119917	17918
870	119924	17761
871	119935	17605
872	119943	17448
873	119952	17292
874	119962	17137
875	119970	16982
876	119978	16827
877	119986	16672
878	119994	16517
879	120002	16363
880	120009	16210
881	120017	16056
882	120025	15903
883	120033	15751
884	120044	15598
885	120052	15446
886	120060	15295
887	120067	15143
888	120075	14992
889	120086	14842
890	120094	14691
891	120101	14541
892	120109	14391
893	120116	14242
894	120124	14092
895	120132	13943
896	120140	13795
897	120148	13647
898	120155	13499
899	120168	13352
900	120175	13204
901	120183	13057
902	120191	12910
903	120199	12764
904	120206	12618
905	120214	12472
906	120222	12327
907	120229	12181
908	120237	12037
909	120245	11892
910	120253	11748
911	120261	11604
912	120270	11460
913	120278	11317
914	120288	11174
915	120296	11031
916	120305	10889
917	120313	10746
918	120320	10604
919	120327	10463
920	120335	10321
921	120342	10180
922	120350	10040
923	120358	9899
924	120365	9759
925	120372	9619
926	120379	9479
927	120389	9340
928	120396	9201
929	120404	9062
930	120412	8924
931	120420	8786
932	120427	8648
933	120434	8510
934	120442	8372
935	120450	8235
936	120457	8099
937	120465	7962
938	120473	7826
939	120481	7690
940	120488	7554
941	120496	7419
942	120504	7283
943	120510	7148
944	120517	7014
945	120524	6879
946	120531	6745
947	120539	6611
948	120546	6478
949	120553	6344
950	120560	6211
951	120568	6079
952	120575	5946
953	120582	5814
954	120590	5682
955	120598	5550
956	120606	5419
957	120613	5287
958	120620	5156
959	120628	5026
960	120635	4895
961	120643	4765
962	120653	4635
963	120661	4506
964	120667	4376
965	120675	4247
966	120683	4118
967	120695	3989
968	120703	3861
969	120710	3733
970	120718	3605
971	120726	3477
972	120733	3350
973	120741	3223
974	120749	3096
975	120756	2969
976	120763	2842
977	120770	2716
978	120777	2590
979	120784	2464
980	120790	2339
981	120797	2214
982	120804	2089
983	120810	1964
984	120817	1839
985	120824	1715
986	120830	1591
987	120837	1467
988	120843	1344
989	120850	1220
990	120857	1097
991	120863	974
992	120870	852
993	120877	729
994	120883	607
995	120891	485
996	120897	363
997	120905	242
998	120913	121
999	120919	0
