iter	Logloss
0	0.6719942459
1	0.65099085
2	0.6302304924
3	0.608617985
4	0.5901686279
5	0.5717854726
6	0.5556147384
7	0.5419864009
8	0.52904774
9	0.5162188872
10	0.503169867
11	0.4917211597
12	0.4794744143
13	0.4675106281
14	0.4570152679
15	0.44616217
16	0.4357902579
17	0.4275285019
18	0.4205909884
19	0.4130090924
20	0.4054185854
21	0.3990545337
22	0.3915219964
23	0.3853271002
24	0.3800647469
25	0.3748612587
26	0.3712118937
27	0.3659202972
28	0.3614879117
29	0.3581590502
30	0.353034577
31	0.3488694443
32	0.3450654936
33	0.3411294149
34	0.3377145117
35	0.334972373
36	0.3332950428
37	0.3302676371
38	0.3262804432
39	0.3236770458
40	0.3209862289
41	0.3185652137
42	0.315581311
43	0.3140049368
44	0.312581805
45	0.3104327957
46	0.3080572468
47	0.3062100034
48	0.304507839
49	0.3029899511
50	0.3013331842
51	0.2991811782
52	0.2973965888
53	0.2957335186
54	0.2939227515
55	0.2924188825
56	0.2909814563
57	0.2897036103
58	0.2884830449
59	0.2873094098
60	0.2857685649
61	0.284537494
62	0.2830823291
63	0.2817704522
64	0.2805811966
65	0.2797745647
66	0.2785750447
67	0.2777140081
68	0.2766102776
69	0.2753531497
70	0.2744485928
71	0.2733531117
72	0.2723080052
73	0.2715927365
74	0.270953004
75	0.2698871449
76	0.269046086
77	0.2678386094
78	0.2668913417
79	0.2660036797
80	0.2649277285
81	0.2641787045
82	0.2635030983
83	0.2628352594
84	0.2617155467
85	0.2610487927
86	0.2603812293
87	0.259973892
88	0.2592435712
89	0.2586573306
90	0.2575476756
91	0.2567647069
92	0.2563946726
93	0.2556914939
94	0.2551934994
95	0.2546093598
96	0.2542231024
97	0.2535324269
98	0.2529004788
99	0.2522000901
100	0.2517813689
101	0.2509712409
102	0.2503312501
103	0.2497918191
104	0.2493468687
105	0.2487432682
106	0.2482848157
107	0.2478908771
108	0.2471500853
109	0.2466526763
110	0.246120427
111	0.2454806946
112	0.2449714885
113	0.2442468854
114	0.2437918428
115	0.2433199226
116	0.2425628731
117	0.2418176208
118	0.241320539
119	0.2409630769
120	0.2404190993
121	0.2398794962
122	0.2393295598
123	0.2388976293
124	0.2384763421
125	0.2380921857
126	0.2377098893
127	0.2373259051
128	0.23691533
129	0.2365670301
130	0.2361451918
131	0.235943142
132	0.2356564972
133	0.2352434077
134	0.2347606719
135	0.2343724511
136	0.2339752576
137	0.2335531609
138	0.2332110954
139	0.2326188959
140	0.232278897
141	0.2319430831
142	0.2313074667
143	0.2309508313
144	0.230632515
145	0.2301547565
146	0.2298353208
147	0.2294427945
148	0.2289893191
149	0.2287018477
150	0.2284206278
151	0.2280223666
152	0.2278091052
153	0.2273581442
154	0.2270065893
155	0.2268063995
156	0.2265847854
157	0.2261688026
158	0.225853018
159	0.2255146035
160	0.2252419948
161	0.2249127597
162	0.2244222051
163	0.2240047928
164	0.2235598252
165	0.2232499822
166	0.2229151672
167	0.2225615628
168	0.2221711548
169	0.2217969356
170	0.2214436757
171	0.2211474726
172	0.2207759056
173	0.2204830609
